,show_id,type,title,cast,country,date_added,release_year,rating,duration,listed_in,description
2100,80220655,TV Show,Stay Tuned!,"Kyoko Yoshine, Hiroki Iijima, Kanako Miyashita, Yo Oizumi, Ken Yasuda",Japan,"March 21, 2019",2019,TV-14,1,"International TV Shows, TV Comedies, TV Dramas","She's the most unlikely candidate to ever stumble into the role of a reporter, and she’s keeping everyone on their toes with her eccentric ways."
2109,80171965,TV Show,Dave Chappelle,Dave Chappelle,United States,"March 21, 2017",2017,TV-MA,1,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials."
2114,81049315,TV Show,Feb-09,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-bloshi",,"March 20, 2019",2018,TV-14,1,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy."
2116,81002451,TV Show,My Husband Won't Fit,"Natsumi Ishibashi, Aoi Nakamura",Japan,"March 20, 2019",2019,TV-MA,1,"International TV Shows, Romantic TV Shows, TV Dramas","Kumiko and Kenichi meet in college and build a happy marriage together. But over time, an unusual problem threatens to destroy their relationship."
2118,80170245,TV Show,Juana Brava,"Elisa Zulueta, Alejandro Trejo, Lucas Balmaceda, Gastón Salgado, Nelson Brodt, Emilia Noguera, Daniel Guillón, Ángela Lineros",Chile,"March 20, 2017",2015,TV-MA,1,"International TV Shows, Spanish-Language TV Shows, TV Dramas","After many years away, a woman returns to her hometown, where her mayor father presides over a corrupt, lawless and rundown municipality."
2119,80117291,TV Show,One-Punch Man,"Makoto Furukawa, Kaito Ishikawa, Yuki Kaji, Aoi Yuki, Kazuhiro Yamaji, Kenjiro Tsuda, Minami Takayama, Tessho Genda",Japan,"March 20, 2017",2015,TV-14,1,"Anime Series, Crime TV Shows, International TV Shows","The most powerful superhero in the world can kill anyone with one blow. But nothing can challenge him, so he struggles with ennui and depression."
2126,70140447,TV Show,The Guild,"Felicia Day, Sandeep Parikh, Jeff Lewis, Robin Thorsen, Amy Okuda, Vincent Caso","United States, Japan","March 2, 2019",2013,TV-14,1,TV Comedies,Fantasy and reality collide when a surprisingly diverse group of online video-game addicts struggle to balance the game with personal relationships.
2131,80097594,TV Show,B: The Beginning,"Hiroaki Hirata, Yuki Kaji, Asami Seto, Hiroki Touchi, Minoru Inaba, Ami Koshimizu, Toshiyuki Toyonaga, Shintaro Tanaka, Atsushi Goto, Toshiyuki Morikawa, Kaito Ishikawa, Satomi Sato, Yu Kitada, Mitsuki Saiga, Kazuya Nakai, Nozomi Kameda, Makoto Awane",Japan,"March 2, 2018",2018,TV-MA,1,"Anime Series, Crime TV Shows, International TV Shows","Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target."
2132,80156688,TV Show,Flint Town,,United States,"March 2, 2018",2018,TV-MA,1,"Docuseries, Science & Nature TV","Over a two-year period, filmmakers embedded with cops in Flint, Michigan, reveal a department grappling with volatile issues in untenable conditions."
2152,81045888,TV Show,Green Door,"Jam Hsiao, Bea Hayden Kuo, Enno Cheng, Hsieh Ying-xuan, Jason King, Lan Wei-Hua, Shen Hai Jung, Ruby Zhan, Blue Lan",Taiwan,"March 17, 2019",2019,TV-MA,1,"International TV Shows, Romantic TV Shows, TV Comedies","A troubled psychologist returns from the U.S. and sets up a clinic in Taiwan, where mysterious patients and uncanny events shed light on his murky past."
2154,80113090,TV Show,Julie's Greenroom,"Julie Andrews, Giullian Yao Gioiello, Jennifer Barnhart, Tyler Bunch, Frankie Cordero, Stephanie D'Abruzzo, Dorien Davies, John Kennedy, John Tartaglia",United States,"March 17, 2017",2017,TV-Y,1,Kids' TV,Adorable puppets stage their own musical under the watchful eye of mentor Julie Andrews in this original kids' series from the Jim Henson Company.
2157,80132738,TV Show,Samurai Gourmet,"Naoto Takenaka, Tetsuji Tamayama, Honami Suzuki",Japan,"March 17, 2017",2017,TV-PG,1,"International TV Shows, TV Dramas",Recent retiree Takeshi rediscovers his passion for food and life by getting in touch with his inner warrior and eating what he truly desires.
2160,80112916,TV Show,Edha,"Juana Viale, Andrés Velencoso, Delfina Chaves, Osmar Nuñez, Germán Palacios, Juan Pablo Geretto, Sofía Gala, Daniel Pacheco, Daniel Hendler, Flavio Mendoza",Argentina,"March 16, 2018",2018,TV-MA,1,"International TV Shows, Spanish-Language TV Shows, TV Dramas","Revenge, passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man."
2162,80145240,TV Show,Wild Wild Country,,United States,"March 16, 2018",2018,TV-MA,1,"Crime TV Shows, Docuseries","When a controversial cult leader builds a utopian city in the Oregon desert, conflict with the locals escalates into a national scandal."
2166,80114919,TV Show,Hotel Beau Séjour,"Lynn Van Royen, Inge Paulussen, Jan Hammenecker, Kris Cuppens, Johan van Assche, Katrin Lohmann, Mieke De Groote, Roel Vanderstukken, Joren Seldeslachts, Joke Emmers, Charlotte Timmers, Guus Bullen, Tiny Bertels, Reinhilde Decleir, Barbara Sarafian",Belgium,"March 16, 2017",2017,TV-14,1,"Crime TV Shows, International TV Shows, TV Dramas","Caught in an afterlife limbo, teenage Kato investigates her own mysterious death and unravels a web of secrets in her seemingly tranquil village."
2177,80988860,TV Show,If I Hadn't Met You,"Pablo Derqui, Mercedes Sampietro, Andrea Ros, Javier Beltrán, Paula Malia, David Vert, Muguet Franc, Miquel García Borda, Berta Garcia, Joel Bramona, Montse Guallar, Abel Folk, Sergi López, Òscar Jarque, Eli Iranzo",Spain,"March 15, 2019",2018,TV-MA,1,"International TV Shows, Romantic TV Shows, TV Dramas","Eduard, a husband and father who loses his family in a tragic accident, travels to parallel universes to seek a better fate for his beloved wife."
2184,80174608,TV Show,"Love, Death & Robots","Topher Grace, Mary Elizabeth Winstead, Gary Cole, Samira Wiley, Daisuke Tsuji, Maurice LaMarche, Rebecca Riedy, Helen Sadler, Hayley McLaughlin, Time Winters, Elly Condron, Stefan Kapicic, Bruce Thomas, Jeff Berg, Aaron Himelstein, Carlos Alazraqui, Jill Talley, Brian Bloom, Chris Cox, Michael Benyaer, Fred Tatasciore, Scott Whyte, Josh Brener, Gary Anthony Williams, Chris Parnell, Graham Hamilton, Adam Bartley, Kevin Michael Richardson, Emma Thornett, Henry Douthwaite, Madeleine Knight, Rebecca Banatvala, Kirk Thornton, Yuri Lowenthal, Elaine Tan, Matthew Yang King, Gwendoline Yeo, Neil Kaplan, G.K. Bowes, Courtenay Taylor",United States,"March 15, 2019",2019,TV-MA,1,"TV Action & Adventure, TV Horror, TV Sci-Fi & Fantasy","Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher."
2185,81049381,TV Show,My Pride,"Khaled Amin, Elham Al Fadalah, Fatima Al Safi, Fahad Basim, Farah ElSaraf, Hala",,"March 15, 2019",2018,TV-14,1,"International TV Shows, TV Dramas","After their mother's death, Amal and her brothers struggle to live with their authoritarian father, whose cruelty and neglect break the family apart."
2187,80194956,TV Show,The Disappearance of Madeleine McCann,,,"March 15, 2019",2019,TV-14,1,"Crime TV Shows, Docuseries","The documentary takes a detailed look at the disappearance of 3-year-old Madeleine McCann, who vanished while on holiday with her family."
2190,80156538,TV Show,Top 10 Secrets and Mysteries,,"United Kingdom, United States, Czech Republic","March 15, 2019",2018,TV-14,1,"British TV Shows, Docuseries, Science & Nature TV","This series investigates mysteries that persistently elude scientific explanation, such as mythical creatures, UFOs, sacred sites and more."
2191,80124723,TV Show,Turn Up Charlie,"Idris Elba, Piper Perabo, JJ Feild, Frankie Hervey, Guz Khan",United Kingdom,"March 15, 2019",2019,TV-MA,1,"British TV Shows, International TV Shows, TV Comedies",A down-and-out DJ plots to rebuild his music career while working as a nanny for his famous best friend's wild 11-year-old daughter.
2200,80235139,TV Show,Khotey Sikkey,"Vikas Kumar, Hassan Zaidi, Sukhmani Sadana, Puru Chibber, Dilkhush, Mark Farokh Parakh",India,"March 15, 2018",2011,TV-14,1,"Crime TV Shows, International TV Shows, TV Dramas",Five affluent youths find a new sense of purpose as they team up with a Mumbai police officer on crime-busting missions around the city.
2207,80173925,TV Show,Mystery Science Theater 3000,"Joel Hodgson, Michael J. Nelson, Kevin Murphy, Trace Beaulieu, Jim Mallon, Frank Conniff, Mary Jo Pehl, Bill Corbett, Patrick Brantseg, J. Elvis Weinstein",United States,"March 15, 2018",1999,TV-14,1,"TV Comedies, TV Sci-Fi & Fantasy",Hosts Joel and Mike and their robot companions offer hilarious running commentary on B movies they're forced to watch in these classic MST3K episodes.
2210,80234795,TV Show,Rishta.com,"Shruti Seth, Kavi Shastri, Siddhant Karnick, Kavin Dave",India,"March 15, 2018",2010,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies",Partners at an Indian matrimonial agency face endlessly challenging and often impossible demands as they help clients make the perfect match.
2212,80215154,TV Show,Secret of the Nile,"Amr Youssef, Dina El-Sherbiny, Anoushka, Amina Khalil, Nada Mousa, Sawsan Badr, Ahmed Dawood",Egypt,"March 15, 2018",2016,TV-MA,1,"International TV Shows, Romantic TV Shows, TV Dramas","When his sister disappears while working at the Grand Hotel, a man joins the staff to get answers. Inside its posh walls, he finds love and intrigue."
2214,80206360,TV Show,Tabula Rasa,"Veerle Baetens, Stijn Van Opstal, Jeroen Perceval, Hilde Van Mieghem, Gene Bervoets, Peter Van den Begin, Natali Broods",Belgium,"March 15, 2018",2017,TV-MA,1,"International TV Shows, TV Dramas, TV Mysteries","When a young woman with amnesia becomes a key figure in a missing persons case, she must reconstruct her memories to clear her name."
2225,70230417,TV Show,Oscar's Oasis,,France,"March 15, 2015",2011,TV-G,1,Kids' TV,"Plucky lizard Oscar spends his time trying to avoid the hazards of the desert, including marauding chickens and bumbling adversaries."
2234,80170845,TV Show,Cheer Squad,,United States,"March 14, 2017",2016,TV-PG,1,"Reality TV, Teen TV Shows","Follow the Great White Sharks, a world-champion cheerleading squad, as they juggle the pressures of training, school, work and relationships."
2236,70210484,TV Show,Ken Burns: The West,Peter Coyote,United States,"March 14, 2017",1996,TV-PG,1,Docuseries,Historian Ken Burns and his team bring to life the challenges Americans faced in the 19th century as they embarked on westward expansion.
2237,81049544,TV Show,More to Say,"Yousra, Naglaa Badr, Sherine Reda, Ahmed Hatem, Hesham Selim, Ingi Abou Zeid, Farouk El Fishawy, Mahmoud Fares, Tayam Amar, Heba Abdelaziz, Heba Abdelghany, Mariam El Khosht",Egypt,"March 13, 2019",2018,TV-14,1,"International TV Shows, TV Dramas, TV Mysteries","After her son dies in an accident, a legal consultant is forced to prove her innocence when she's accused of his murder."
2238,81049511,TV Show,The Land of Hypocrisy,"Mohamed Henedy, Dalal Abdel Aziz, Hana Shiha, Mohammed Tharwat, Salwa Mohammed, Mohammed Hafiz, Ibrahim Issa, Leila Ezz Al Arab, Mohammed Mahmoud",Egypt,"March 13, 2019",2018,TV-14,1,"International TV Shows, TV Comedies, TV Sci-Fi & Fantasy",A hardworking man in a thankless job meets a mysterious doctor who sells him powerful pills that throw his life into disarray.
2240,80174917,TV Show,Children of the Whales,"Natsuki Hanae, Manaka Iwami, Yuuichirou Umehara, Nobunaga Shimazaki, Mikako Komatsu, Daiki Yamashita, Hiroshi Kamiya",Japan,"March 13, 2018",2017,TV-MA,1,"Anime Series, International TV Shows","As a magic wielder, young archivist Chakuro knows his time is short, but everything changes when a girl from the outside appears on his island."
2243,80094387,TV Show,A Man Called God,"Song Il-gook, Han Chae-young, Kim Min-jong, Go Eun Han, Jung Hoon Lee, Nam Da-Reum, Yoo In-young",South Korea,"March 12, 2019",2010,TV-MA,1,"Crime TV Shows, International TV Shows, Korean TV Shows","Raised in America, government agent Choi Kang-Ta returns to Korea with the skills of an assassin and a thirst for revenge on his father’s killers."
2244,80094386,TV Show,Cain and Abel,"So Ji-sub, Shin Hyun-joon, Chae Jung-an, Han Ji-min, Kim Hae-suk, You-Mi Ha, Yong Jang, Kwon Hae-hyo",South Korea,"March 12, 2019",2009,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",Gifted doctor Cho-in leads a charmed life while his older brother Seon-woo seethes with jealousy in this series inspired by Biblical characters.
2248,81049674,TV Show,Eugenie Nights,"Ameena Khalil, Zafer Abdeen, Injy El Mokkaddem, Khaled Kamal, Cherif Hafez, Carmen Bsaibes, Mourad Makram, Leila Ezz Al Arab, Asmaa Abou El Yazeed, Nadine Nassib Njeim",Egypt,"March 11, 2019",2018,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas","In 1940s Port Said, Kariman finds comfort and solace in the arms of an unhappily married man, who also happens to be her abusive husband's brother."
2249,81049707,TV Show,This Evening,"Eyad Nassar, Ahmed Dawood, Mohamed Farraag, Hanan Motawie, Arwa Gouda, Bassel Alzaro",Egypt,"March 11, 2019",2017,TV-MA,1,"International TV Shows, TV Dramas",The lives of a wealthy couple hiding their marital problems intersect with a group of hackers and the young women they exploit.
2252,80073289,TV Show,Netflix Presents: The Characters,"Lauren Lapkus, John Early, Henry Zebrowski, Kate Berlant, Natasha Rothwell, Paul W. Downs, Tim Robinson, Dr. Brown",United States,"March 11, 2016",2016,TV-MA,1,TV Comedies,We asked eight up-and-coming comedians for their wildest sketch and improv routines – and got a new comedy series unlike anything else.
2258,80081170,TV Show,Buddy Thunderstruck,"Brian Atkinson, Ted Raimi, Harry Chaskin, Justin Michael, Debi Derryberry, Philip Maurice Hayes, Leigh Kelly, J.D. Ryznar, Nick Shakoour, Ryan Wiesbrock, Clark Wiesbrock",United States,"March 10, 2017",2017,TV-PG,1,"Kids' TV, TV Comedies","Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit."
2281,80161700,TV Show,One More Time,"L, So-hui Yoon, Gi-du Kim, Chang-hwan Kim, Ji Su, Tae-im Lee, Nam-gil Kang",South Korea,"March 10, 2017",2016,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",This fantasy drama follows an indie band singer who repeatedly undergoes unwanted time slips and the girlfriend he must save from an unlucky fate.
2297,80222770,TV Show,Cricket Fever: Mumbai Indians,,India,"March 1, 2019",2019,TV-MA,1,"Docuseries, International TV Shows",Follow Indian Premier League champions Mumbai Indians through the 2018 season in this series featuring insider insights and intense cricket action.
2300,80001101,TV Show,Doomsday Preppers,Michael Izquierdo,United States,"March 1, 2019",2013,TV-14,1,"Reality TV, Science & Nature TV",This series highlights a diverse group of survivalists as they prepare for various catastrophic scenarios that could cause civilization to collapse.
2306,80198306,TV Show,Losers,,,"March 1, 2019",2019,TV-MA,1,Docuseries,"In a ""winning is everything"" society, how do we handle failure? This series profiles athletes who have turned the agony of defeat into human triumph."
2307,80202258,TV Show,Northern Rescue,"William Baldwin, Kathleen Robertson, Spencer MacPherson, Taylor Thorne, Amalia Williamson, Michelle Nolden, Peter MacNeill, Natalie Lisinska",Canada,"March 1, 2019",2019,TV-14,1,TV Dramas,"After the sudden death of his wife, search and rescue commander John West relocates with his three kids to his rural hometown of Turtle Island Bay."
